"Item.Description","date","time","Post.code.description","postcode","total","Location","Sales_Type","lat","lon"
"Postcards Apostles/Abg","26/11/2007","15:07:20","SWITZERLAND",20,0.75,"International","Shop Sales",47,8
"Keyring - Fur Kanga Kr-Fka4","16/8/2008","15:44:38","MALAYSIA",12,13.95,"International","Shop Sales",2.5,112.5
"Choc Koalas 100g A2010","17/8/2009","11:23:09","HONG KONG",8,11,"International","Shop Sales",22.25,114.1667
"%Nwm - Concess Admit","18/8/2005","11:58:52","SWITZERLAND",20,5.9,"International","Ticket Sales",47,8
"Postcard-W/Front Aerial G'long 1-10008","3/10/2010","13:37:25","ITALY",10,0.86,"International","Shop Sales",42.8333,12.8333
"%Nwm - Adult Admit","5/12/2006","12:38:12","OTHER INTERNATIONAL",25,36.5,"International","Ticket Sales",NA,NA
"Tea Towel Sheep Coloured Tt-005sh","1/3/2010","12:14:26","UNITED KINGDOM",22,16.27,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","15/4/2014","2:58:15","UNITED KINGDOM",22,7.5,"International","Ticket Sales",54,-2
"%Nwm & Fdc - Concession","16/3/2011","14:14:01","UNITED KINGDOM",22,9,"International","Ticket Sales",54,-2
"%Nwm - Adult Admit","16/7/2005","16:12:28","NEW ZEALAND",15,7.3,"International","Ticket Sales",-41,174
"Face Washer/Emb","3/4/2006","11:02:10","ITALY",10,21.9,"International","Shop Sales",42.8333,12.8333
"Ceramic Plate/Dot Painted/Lge","15/2/2011","16:37:11","RUSSIA",16,18.14,"International","Shop Sales",60,100
"Gift Card/Magpie(J Boot)","5/3/2014","3:46:47","UNITED KINGDOM",22,1.36,"International","Shop Sales",54,-2
"Stubby Holder - Road Signs","8/2/2009","14:31:37","OTHER INTERNATIONAL",25,6.95,"International","Shop Sales",NA,NA
"Xmas- Orn Cloissone Bell","20/3/2009","13:00:02","UNITED STATES",23,19.95,"International","Shop Sales",38,-97
"%Nwm - Concess Admit","27/10/2014","2:50:36","UNITED KINGDOM",22,6.5,"International","Ticket Sales",54,-2
"Sock - Bellv 00-1 Pink Bvc112","30/11/2006","16:42:49","UNITED KINGDOM",22,7.95,"International","Shop Sales",54,-2
"Stickpin - Sheep Gilt/Allgifts","19/1/2007","11:06:01","UNITED STATES",23,1.95,"International","Shop Sales",38,-97
"Magnet/5 Emus/Stun'd Emu","21/7/2013","3:35:47","HONG KONG",8,3.59,"International","Shop Sales",22.25,114.1667
"Bookmarks/Opal Chip/Opbm","1/9/2012","3:27:32","JAPAN",11,4.5,"International","Shop Sales",36,138
"Hat/Buffalo Leather/Brown/S","21/3/2007","14:30:48","GERMANY",7,49.95,"International","Shop Sales",51,9
"Postcard/Sailor & Woman","26/7/2014","2:19:35","CHINA",4,1.14,"International","Shop Sales",35,105
"%Nwm - Adult Admit","22/9/2009","12:46:47","NEW ZEALAND",15,14.6,"International","Ticket Sales",-41,174
"Scarf - Honeycomb 9583","23/4/2006","12:41:49","OTHER INTERNATIONAL",25,89,"International","Shop Sales",NA,NA
"Sock - Health/Navy 7-11","13/12/2006","11:38:27","SWITZERLAND",20,19.95,"International","Shop Sales",47,8
"Card - Young Koala","16/6/2009","15:28:07","FRANCE",6,3.5,"International","Shop Sales",46,2
"Boomerang Carded/Contemporary","22/4/2006","11:31:21","GERMANY",7,14.95,"International","Shop Sales",51,9
"Sock 65c/Mens/Koala/Cush/Charc/Reg","6/10/2013","10:23:43","SINGAPORE",17,18.14,"International","Shop Sales",1.3667,103.8
"Postcard/Australia Kanga170","1/2/2011","16:51:32","UNITED STATES",23,0.59,"International","Shop Sales",38,-97
"Sheep - Pipecleaner Large","22/2/2015","1:01:30","CHINA",4,9.05,"International","Shop Sales",35,105
"Purse/Koala/Szpuk06","10/10/2014","5:14:16","JAPAN",11,2.68,"International","Shop Sales",36,138
"Family Child - NWM Only","21/2/2009","14:48:17","UNITED STATES",23,0,"International","Shop Sales",38,-97
"Mugmats 1 Wombat/Blackwood","19/7/2008","16:24:04","UNITED STATES",23,7.95,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","3/1/2006","16:30:16","MALAYSIA",12,7.3,"International","Ticket Sales",2.5,112.5
"Brooch/Opal Chip/Opbr","23/4/2009","10:28:21","UNITED STATES",23,4.95,"International","Shop Sales",38,-97
"Wool 8ply-Polwarth 155g","29/6/2006","14:22:27","UNITED STATES",23,25.9,"International","Shop Sales",38,-97
"Mouse Pads/Pettis","27/10/2005","9:47:43","UNITED KINGDOM",22,9.95,"International","Shop Sales",54,-2
"Sheep Pad","11/3/2007","16:47:23","UNITED KINGDOM",22,3.95,"International","Shop Sales",54,-2
"Beads - Kangaroos/Emus","22/2/2007","12:13:03","GERMANY",7,19.95,"International","Shop Sales",51,9
"Tea Towel/G O Road Montage","17/3/2013","12:05:34","GERMANY",7,9.05,"International","Shop Sales",51,9
"%Nwm - Adult Admit","10/2/2012","2:13:37","UNITED STATES",23,7.5,"International","Ticket Sales",38,-97
"Handbag/Lds/Leather/Canvas/Lcbo02","19/1/2014","1:10:08","UNITED KINGDOM",22,27.23,"International","Shop Sales",54,-2
"Ornament/Silver/Koala","28/2/2013","11:55:33","UNITED STATES",23,4.5,"International","Shop Sales",38,-97
"Postcard/Sailor & Woman","12/3/2012","10:24:49","TAIWAN",21,1.14,"International","Shop Sales",23.5,121
"Postcards/12 Apostles Story/11go121","4/5/2011","14:38:36","TAIWAN",21,0.59,"International","Shop Sales",23.5,121
"Magnet/#19 Red Roo & Joey","10/3/2007","10:31:56","UNITED STATES",23,3.5,"International","Shop Sales",38,-97
"Brief Hi-Cut - Lace Motif/Nat (S)","8/1/2008","11:52:02","INDONESIA",9,23,"International","Shop Sales",-5,120
"Sticker - Geelong (Cs)","31/7/2013","4:30:25","HONG KONG",8,2.68,"International","Shop Sales",22.25,114.1667
"Soap/Wrapped - Lemon Myrtle","22/3/2009","17:01:23","JAPAN",11,5.95,"International","Shop Sales",36,138
"Postcards/Geelong Marina/11ge002","24/8/2013","4:48:46","UNITED STATES",23,0.59,"International","Shop Sales",38,-97
"Keyring  - Woollen Sheep","8/1/2007","15:18:46","TAIWAN",21,8.95,"International","Shop Sales",23.5,121
"Postcards/Gor/Montage/Go158","20/7/2010","16:50:47","CHINA",4,0.59,"International","Shop Sales",35,105
"%Nwm - Concess Admit","4/5/2013","2:58:32","NEW ZEALAND",15,6,"International","Ticket Sales",-41,174
"Keyring/Koala/Leaf/Wooden","16/12/2013","2:25:41","CHINA",4,5,"International","Shop Sales",35,105
"Postcards/Geelong Sunset/11ge005","18/5/2009","12:22:00","UNITED KINGDOM",22,0.65,"International","Shop Sales",54,-2
"%Nwm - Concess Admit","7/4/2011","15:09:08","MALAYSIA",12,5.9,"International","Ticket Sales",2.5,112.5
"%Nwm - Adult Admit","18/9/2011","14:46:12","SWITZERLAND",20,7.5,"International","Ticket Sales",47,8
"Necklace - Iron Ore Ir200181","10/12/2006","11:07:01","UNITED KINGDOM",22,24.95,"International","Shop Sales",54,-2
"Bookmark/Sheep Nwm Zody","2/7/2010","15:12:44","OTHER INTERNATIONAL",25,4.5,"International","Shop Sales",NA,NA
"Beanie/Homespun (Lc)","4/2/2007","16:39:36","UNITED STATES",23,29.95,"International","Shop Sales",38,-97
"Snowdome -  Australian Christmas","2/12/2011","3:58:07","ITALY",10,6.32,"International","Shop Sales",42.8333,12.8333
"Hat/Buffalo Leather/Brown/M/Lge","8/2/2014","2:12:51","UNITED KINGDOM",22,59.09,"International","Shop Sales",54,-2
"Keyring- Standing Kanga/Wooden/Zody","19/8/2012","1:53:09","OTHER INTERNATIONAL",25,5,"International","Shop Sales",NA,NA
"%Nwm - Adult Admit","27/7/2007","11:54:54","NEW ZEALAND",15,7.3,"International","Ticket Sales",-41,174
"Postcards - Bollards","19/6/2006","12:04:31","UNITED KINGDOM",22,1.5,"International","Shop Sales",54,-2
"Lanolin Skin Cream 250 G(H/W)","1/10/2006","10:22:35","HONG KONG",8,8.95,"International","Shop Sales",22.25,114.1667
"%Nwm - Adult Admit","24/4/2011","14:44:53","OTHER INTERNATIONAL",25,7.3,"International","Ticket Sales",NA,NA
"Postcards - Bollards Rippleside Swim Clu","16/10/2012","10:04:17","GERMANY",7,1.36,"International","Shop Sales",51,9
"Bay Walk Bollards/Guide Book","18/1/2006","14:40:15","UNITED STATES",23,9.95,"International","Shop Sales",38,-97
"Boomerang Carded/Traditional","26/4/2006","9:31:29","UNITED STATES",23,14.95,"International","Shop Sales",38,-97
"Postcard/Carrie Moore","28/5/2014","2:07:19","TAIWAN",21,1.14,"International","Shop Sales",23.5,121
"Sock/Outback/Natural/S","7/8/2008","11:46:56","GERMANY",7,39.95,"International","Shop Sales",51,9
"Hand Cream - Waratah 60ml","26/2/2011","10:58:54","UNITED STATES",23,7.23,"International","Shop Sales",38,-97
"Foot Warmer/Grey (M)","21/12/2006","13:22:25","OTHER INTERNATIONAL",25,33.95,"International","Shop Sales",NA,NA
"Koala 21cm W Baby Long Fur/Auk21btl","8/3/2011","11:44:55","UNITED STATES",23,22.68,"International","Shop Sales",38,-97
"%Nwm - Concess Admit","18/9/2013","11:41:40","FRANCE",6,6,"International","Ticket Sales",46,2
"Hanky/Lds/Emb","2/1/2007","14:01:40","UNITED KINGDOM",22,6.5,"International","Shop Sales",54,-2
"Magnet/Oblong/Golden Wattle","3/1/2014","2:42:50","JAPAN",11,5.91,"International","Shop Sales",36,138
"Stole/Lm Kanni Leaf","23/3/2013","10:56:40","UNITED KINGDOM",22,63.59,"International","Shop Sales",54,-2
"Sock - Bellv Child/9-12 Bvc026","11/9/2006","14:32:03","UNITED STATES",23,8.5,"International","Shop Sales",38,-97
"Sticker Book Mammals","19/3/2014","2:52:00","UNITED KINGDOM",22,9.05,"International","Shop Sales",54,-2
"Shot Glass/Badge/Bollard/Lifesaver","27/11/2012","2:42:25","NEW ZEALAND",15,8.14,"International","Shop Sales",-41,174
"Postcard/Volunteer Rifle Band","19/1/2012","10:53:38","HONG KONG",8,1.14,"International","Shop Sales",22.25,114.1667
"Magnet - Pewter/Boomerang","17/11/2005","11:22:01","UNITED STATES",23,10.95,"International","Shop Sales",38,-97
"Lanolin/Placenta/Tube 80ml/Lbtpl","5/12/2010","14:40:33","OTHER INTERNATIONAL",25,7.23,"International","Shop Sales",NA,NA
"Koala -  3"" Itsy 85726","17/2/2011","11:39:15","CANADA",3,5.41,"International","Shop Sales",60,-95
"Ashford/Chestnut 12m","11/2/2009","12:30:43","CANADA",3,69.95,"International","Shop Sales",60,-95
"Postcardsclassic/Bay Of Islands/1401940","2/6/2012","11:12:52","MALAYSIA",12,0.68,"International","Shop Sales",2.5,112.5
"Postcards Apostles/Ab","11/2/2014","2:09:47","UNITED STATES",23,0.68,"International","Shop Sales",38,-97
"Bookmark/Aussie Die Cut Assorted","8/10/2014","12:52:35","UNITED STATES",23,5.91,"International","Shop Sales",38,-97
"Bookmark - Kanga & Joey Bm-Kj","22/11/2008","16:51:44","NEW ZEALAND",15,8.95,"International","Shop Sales",-41,174
"Scoop Top S/S Peri (M)","20/11/2006","16:04:33","NEW ZEALAND",15,67,"International","Shop Sales",-41,174
"Family Child - NWM Only","15/2/2007","9:58:08","CANADA",3,0,"International","Shop Sales",60,-95
"Wool - Hand-Dyed Fleece/ Jm (Cons)","26/3/2006","14:16:22","UNITED STATES",23,9.95,"International","Shop Sales",38,-97
"Pottery - Cylinder Vase V84/170x80","18/4/2006","13:32:20","UNITED KINGDOM",22,55,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","15/4/2006","12:06:29","GERMANY",7,7.3,"International","Ticket Sales",51,9
"Postcard/Volunteer Rifle Band","11/1/2014","11:55:29","UNITED STATES",23,1.14,"International","Shop Sales",38,-97
"Lapel Badge - Australiana (Innov)","2/1/2007","11:11:27","UNITED KINGDOM",22,3.95,"International","Shop Sales",54,-2
"Hanky/Mens/Emb","24/8/2009","12:23:52","UNITED STATES",23,6.5,"International","Shop Sales",38,-97
"Coin Purse - Koala","8/1/2007","15:18:46","TAIWAN",21,6.95,"International","Shop Sales",23.5,121
"Pendant/Rectangle Gold/Gp250102","24/2/2013","2:42:06","CANADA",3,45.41,"International","Shop Sales",60,-95
"Necklace - Iron Ore Heart Ir200389","11/2/2007","13:03:41","CANADA",3,12.95,"International","Shop Sales",60,-95
"%Nwm - Concess Admit","29/1/2013","10:51:18","CANADA",3,6,"International","Ticket Sales",60,-95
"Postcard - Nwm Flower Sheep","20/12/2013","1:48:52","ITALY",10,0.91,"International","Shop Sales",42.8333,12.8333
"Postcard/Gheringhap St","20/3/2013","10:41:50","HONG KONG",8,1.36,"International","Shop Sales",22.25,114.1667
"Boomerang Carded/Contemporary","2/9/2009","15:36:16","SPAIN",19,14.95,"International","Shop Sales",40,-4
"Socks-Nwm - Mens Dk Green","4/7/2009","12:06:52","TAIWAN",21,9.95,"International","Shop Sales",23.5,121
"Postcards/Eastern Beach/11ge003/Dno","6/6/2011","9:16:45","MALAYSIA",12,0.59,"International","Shop Sales",2.5,112.5
"Postcard-W/Front Aerial G'long 1-10008","13/2/2015","11:06:55","UNITED KINGDOM",22,0.91,"International","Shop Sales",54,-2
"Postcards/G O R/12 Apostle/11go153","6/5/2006","11:33:39","JAPAN",11,0.65,"International","Shop Sales",36,138
"Postcard/Rippleside Swimming Club","2/3/2014","2:52:39","TAIWAN",21,1.14,"International","Shop Sales",23.5,121
"Family Child - NWM Only","23/1/2012","10:32:33","FRANCE",6,0,"International","Shop Sales",46,2
"Noughts & Crosses - Kangas & Koalas","17/5/2008","11:24:30","UNITED KINGDOM",22,14.95,"International","Shop Sales",54,-2
"%Nwm - Concess Admit","22/11/2011","11:50:39","UNITED KINGDOM",22,6,"International","Ticket Sales",54,-2
"Postcards - Bollards Ian Mcdonald","10/1/2009","16:54:10","OTHER INTERNATIONAL",25,1.5,"International","Shop Sales",NA,NA
"%Nwm - Adult Admit","1/4/2013","11:03:50","HONG KONG",8,7.5,"International","Ticket Sales",22.25,114.1667
"%Nwm - Concess Admit","27/7/2009","12:24:25","UNITED STATES",23,35.4,"International","Ticket Sales",38,-97
"Face Washer/Emb","8/8/2006","14:28:10","UNITED STATES",23,10.95,"International","Shop Sales",38,-97
"Mega Activity Book/Australia","2/9/2010","12:48:30","UNITED KINGDOM",22,9.05,"International","Shop Sales",54,-2
"Postcard/Rippleside Swimming Club","28/3/2014","10:30:16","HONG KONG",8,1.14,"International","Shop Sales",22.25,114.1667
"Doyley Large 30x50 /State Flowers","1/5/2008","11:22:17","UNITED KINGDOM",22,24.95,"International","Shop Sales",54,-2
"Postcard/Yarra St Wharf","26/7/2013","11:04:03","TAIWAN",21,1.36,"International","Shop Sales",23.5,121
"Lanolin/Lip Balm Stick","3/11/2006","10:04:15","JAPAN",11,9.95,"International","Shop Sales",36,138
"Magnet/Lg Grt Ocean Rd 4063279","11/10/2007","12:21:10","AUSTRIA",2,4.5,"International","Shop Sales",47.3333,13.3333
"Lanolin Skin Cream 250 G(H/W)","28/8/2014","1:05:34","CHINA",4,27.14,"International","Shop Sales",35,105
"Coaster -  Koala Wildlife","25/7/2011","16:55:16","ITALY",10,6.32,"International","Shop Sales",42.8333,12.8333
"Family Child - NWM Only","22/11/2007","14:12:22","SINGAPORE",17,0,"International","Shop Sales",1.3667,103.8
"Koala Chamois/Aussieko15s","14/2/2007","12:10:37","UNITED KINGDOM",22,12.95,"International","Shop Sales",54,-2
"Sheep  Black Med 25cm N24693","16/2/2007","16:37:27","HONG KONG",8,24.95,"International","Shop Sales",22.25,114.1667
"Koala 16cm/Flag /Long Fur/Auk16fl","29/9/2010","14:19:51","FRANCE",6,13.59,"International","Shop Sales",46,2
"Ram/Mcarthur Small","6/12/2008","10:43:55","UNITED KINGDOM",22,14.95,"International","Shop Sales",54,-2
"Boomerang Carded/Traditional","27/10/2005","9:47:43","UNITED KINGDOM",22,14.95,"International","Shop Sales",54,-2
"Card - Sulphur Cockatoo/M Cole","15/3/2011","14:47:33","UNITED KINGDOM",22,5.41,"International","Shop Sales",54,-2
"Magnet/Money 6 Pack/Ma 6pk","29/3/2014","3:57:07","JAPAN",11,3.18,"International","Shop Sales",36,138
"Albany/Sand 9w","11/12/2010","12:26:43","GERMANY",7,77.27,"International","Shop Sales",51,9
"Print - Whimsies","30/3/2007","15:46:36","UNITED KINGDOM",22,15.95,"International","Shop Sales",54,-2
"Lanolin/Moisturising Cream/Placenta I627","10/2/2009","12:12:57","JAPAN",11,9.95,"International","Shop Sales",36,138
"Lamb - Pascale Floppy","4/5/2006","14:34:50","JAPAN",11,29.95,"International","Shop Sales",36,138
"Postcards/G O R/12 Apostle/11go153","25/2/2012","11:15:11","GERMANY",7,0.59,"International","Shop Sales",51,9
"Postcard/Rippleside Swimming Club","8/12/2012","3:40:41","TAIWAN",21,1.14,"International","Shop Sales",23.5,121
"Postcard/G'day From Australia/Pc024","24/3/2010","12:16:10","CANADA",3,0.59,"International","Shop Sales",60,-95
"Postcards/Classic/Geelong/3 1403094","22/3/2012","10:52:27","FRANCE",6,0.77,"International","Shop Sales",46,2
"Stole - Pip Assorted","16/6/2014","4:29:54","UNITED STATES",23,36.32,"International","Shop Sales",38,-97
"Postcard/Australia Kanga170","26/1/2010","16:45:00","GERMANY",7,0.59,"International","Shop Sales",51,9
"Family Adult - NWM Only","2/1/2010","10:46:39","UNITED STATES",23,0,"International","Shop Sales",38,-97
"Kids Story/First Fact/Koalas","17/2/2011","15:04:03","GERMANY",7,4.5,"International","Shop Sales",51,9
"Magnet/Lg Grt Ocean Rd 4063279","24/4/2012","3:09:39","UNITED KINGDOM",22,4.5,"International","Shop Sales",54,-2
"Eraser/Todo/Koala","16/2/2015","12:06:40","CHINA",4,1.36,"International","Shop Sales",35,105
"Bucket Hat - Aust Roos","16/11/2010","16:16:34","CHINA",4,13.59,"International","Shop Sales",35,105
"%Nwm - Concess Admit","25/11/2008","12:40:29","UNITED KINGDOM",22,5.9,"International","Ticket Sales",54,-2
"%Nwm - Concess Admit","16/11/2008","14:22:56","UNITED STATES",23,5.9,"International","Ticket Sales",38,-97
"%Nwm - Concess Admit","4/7/2014","11:42:03","HONG KONG",8,6,"International","Ticket Sales",22.25,114.1667
"%Nwm - Adult Admit","1/3/2007","15:00:56","UNITED KINGDOM",22,7.3,"International","Ticket Sales",54,-2
"Koal W Hat/Eucalypt Jum53311 21cm","14/12/2006","12:06:09","UNITED KINGDOM",22,14.95,"International","Shop Sales",54,-2
"Keyring/Kanga/Wooden","28/3/2013","12:08:40","UNITED KINGDOM",22,5,"International","Shop Sales",54,-2
"Magnet/Beanz/Lamb","3/6/2006","12:36:00","SINGAPORE",17,9.9,"International","Shop Sales",1.3667,103.8
"Bottle/Walkabout/Lge/Awdbc-O-L","23/1/2006","13:49:05","SWITZERLAND",20,39.95,"International","Shop Sales",47,8
"Koala 16cm/Didj Auk16d/Mu","2/11/2010","15:54:06","UNITED STATES",23,16.32,"International","Shop Sales",38,-97
"Necklace - Iron Ore Ir200333","13/8/2009","15:19:05","HONG KONG",8,24.95,"International","Shop Sales",22.25,114.1667
"Postcards/G O R / 5sc/ 11go193","21/5/2013","2:15:56","SOUTH AMERICA",18,0.59,"International","Shop Sales",NA,NA
"Naru/Black (S)","26/2/2011","10:13:57","UNITED STATES",23,90.86,"International","Shop Sales",38,-97
"Card -  Quilled","17/2/2012","11:44:03","UNITED STATES",23,4.09,"International","Shop Sales",38,-97
"Magnet - Wool Sml","10/4/2006","11:38:15","UNITED KINGDOM",22,3.95,"International","Shop Sales",54,-2
"Roadsign/Kanga Crossing/Suction/Rssw","4/4/2013","12:26:19","UNITED KINGDOM",22,2.27,"International","Shop Sales",54,-2
"Scrambled Egg","29/12/2012","11:47:05","UNITED STATES",23,14.5,"International","Shop Sales",38,-97
"Bag - Shopper Kangaroo","12/2/2011","13:51:53","CANADA",3,13.59,"International","Shop Sales",60,-95
"%Nwm - Concess Admit","20/11/2010","14:14:06","NETHERLANDS",13,5.9,"International","Ticket Sales",52.5,5.75
"Pencil - Nwm","27/2/2007","16:01:08","CANADA",3,1.5,"International","Shop Sales",60,-95
"Kanga/Hy8605/Roo12/Ass","4/12/2012","4:59:16","UNITED KINGDOM",22,4.5,"International","Shop Sales",54,-2
"Sheep/Jolly Logan/N35105/Lge","18/10/2013","11:02:28","CHINA",4,40.91,"International","Shop Sales",35,105
"Socks-Nwm - Mens Dk Green","6/4/2006","12:30:08","UNITED KINGDOM",22,9.95,"International","Shop Sales",54,-2
"Postcards - Bollards Rippleside Swim Clu","17/3/2008","13:58:24","FRANCE",6,1.5,"International","Shop Sales",46,2
"Magnet/Inlet Tree/Mokoh","28/2/2012","11:59:15","UNITED STATES",23,4.5,"International","Shop Sales",38,-97
"Keyring - Nwm Round Metal","27/4/2007","14:26:11","CHINA",4,2.95,"International","Shop Sales",35,105
"Bookmarks/Sbm021","17/7/2012","2:49:29","UNITED STATES",23,0.91,"International","Shop Sales",38,-97
"Stickpin - Sheep Gilt/Allgifts","18/6/2006","12:07:27","UNITED STATES",23,5.85,"International","Shop Sales",38,-97
"Boomerang Carded/Traditional","30/3/2012","11:04:13","ITALY",10,14.5,"International","Shop Sales",42.8333,12.8333
"Postcards Apostles/Arch  Mtg4","6/9/2013","12:01:24","CHINA",4,0.68,"International","Shop Sales",35,105
"%Nwm - Child Admit","20/10/2005","14:17:32","UNITED STATES",23,3.65,"International","Ticket Sales",38,-97
"Postcards Gor/Mtg6","18/10/2008","10:54:18","GERMANY",7,0.75,"International","Shop Sales",51,9
"Postcards/Classic/12 Apos1401869/Dno","7/10/2007","12:44:15","GERMANY",7,0.75,"International","Shop Sales",51,9
"Magnet - Geelong Beach 4062350","11/12/2007","13:05:01","UNITED KINGDOM",22,4.5,"International","Shop Sales",54,-2
"Postcards/Eastern Beach/11ge003/Dno","22/4/2010","12:10:09","CANADA",3,0.59,"International","Shop Sales",60,-95
"Print - Whimsies Small Assorted","22/10/2008","10:40:43","UNITED KINGDOM",22,9.95,"International","Shop Sales",54,-2
"Magnet/#10 Green Twisted","2/1/2014","12:25:06","HONG KONG",8,3.59,"International","Shop Sales",22.25,114.1667
"Postcard/Eastern Beach Lifesavers","6/12/2012","1:22:33","UNITED KINGDOM",22,1.14,"International","Shop Sales",54,-2
"Koala/Koa181bb/1 Baby 18cm","12/1/2014","1:58:05","UNITED KINGDOM",22,9.05,"International","Shop Sales",54,-2
"Thimble/Geelong/4552645","26/3/2010","13:35:22","UNITED KINGDOM",22,4.5,"International","Shop Sales",54,-2
"Emu Oil/Cream/250gm","5/5/2007","10:24:50","TAIWAN",21,7.95,"International","Shop Sales",23.5,121
"Keyring -Koala (Innov)","28/2/2015","3:40:55","CHINA",4,4.5,"International","Shop Sales",35,105
"Family Adult - NWM Only","8/12/2014","1:43:24","OTHER INTERNATIONAL",25,0,"International","Shop Sales",NA,NA
"Sock - Bellv Child/13-3 Bvc046","4/12/2006","16:34:21","UNITED STATES",23,8.5,"International","Shop Sales",38,-97
"Cloth/Badge I Drove The Gor","9/10/2013","3:55:35","NEW ZEALAND",15,7.23,"International","Shop Sales",-41,174
"Magnet/Symbol Resin/Togetherness","9/12/2012","11:50:26","MALAYSIA",12,3.18,"International","Shop Sales",2.5,112.5
"Nwm - Free Admission Adult","18/1/2008","10:51:06","NETHERLANDS",13,0,"International","Shop Sales",52.5,5.75
"Postcards/Gor/11go159","28/3/2006","11:16:44","NETHERLANDS",13,0.65,"International","Shop Sales",52.5,5.75
"Magnet/Oblong/Waratah","19/8/2012","1:53:07","OTHER INTERNATIONAL",25,5.91,"International","Shop Sales",NA,NA
"Keyring - 4 Pack Leather/Kr-4l","6/12/2008","10:43:55","UNITED KINGDOM",22,12.95,"International","Shop Sales",54,-2
"Pen - Australia","31/7/2008","12:07:18","JAPAN",11,5.85,"International","Shop Sales",36,138
"Thimble - Kanagaroo Zody","1/10/2010","14:07:02","OTHER INTERNATIONAL",25,4.5,"International","Shop Sales",NA,NA
"Magnet - Pewter/Kookaburra","11/11/2005","12:57:57","UNITED KINGDOM",22,10.95,"International","Shop Sales",54,-2
"Kanga/Hy8605/Roo12/Ass","27/8/2008","14:54:20","UNITED KINGDOM",22,4.95,"International","Shop Sales",54,-2
"Postcards/Classic/Geelong/4 1403095","11/2/2014","2:09:48","UNITED STATES",23,0.77,"International","Shop Sales",38,-97
"%Nwm - Concess Admit","30/12/2014","3:45:18","UNITED KINGDOM",22,6.5,"International","Ticket Sales",54,-2
"Puppet Kanga 26cm/Azpr26","23/11/2010","10:25:22","UNITED KINGDOM",22,16.32,"International","Shop Sales",54,-2
"Postcards - Bollards Scallop F/Men","5/1/2007","13:33:54","OTHER INTERNATIONAL",25,1.5,"International","Shop Sales",NA,NA
"Pendant - Opal Boulder Opl00010","13/7/2006","12:49:15","UNITED STATES",23,29.95,"International","Shop Sales",38,-97
"Postcards/G O R/12 Apostle/11go153","1/3/2013","12:18:16","AUSTRIA",2,0.59,"International","Shop Sales",47.3333,13.3333
"Tea Towel - Animals With Rust Edge","18/11/2007","16:24:10","JAPAN",11,7.95,"International","Shop Sales",36,138
"Choc Sheep W Macadamia A1095","10/2/2007","11:20:26","JAPAN",11,5.95,"International","Shop Sales",36,138
"Pen - Australia","9/2/2006","12:44:40","FRANCE",6,1.95,"International","Shop Sales",46,2
"Bag -Organic Cotton Botanicals","14/9/2007","12:02:22","UNITED STATES",23,14.95,"International","Shop Sales",38,-97
"Coin Pouch - Clever Kangaroo","6/4/2006","16:35:08","UNITED KINGDOM",22,18.95,"International","Shop Sales",54,-2
"Socks - Ladies 2-8  Navy & Black","12/2/2010","16:20:16","NETHERLANDS",13,12.68,"International","Shop Sales",52.5,5.75
"Postcards/Eastern Beach/11ge003/Dno","13/10/2007","13:00:20","JAPAN",11,0.65,"International","Shop Sales",36,138
"Sheep - Ram Musical N11806","18/8/2007","16:01:00","ITALY",10,5.5,"International","Shop Sales",42.8333,12.8333
"Postcard Nwm Building","17/1/2007","14:11:37","UNITED KINGDOM",22,1,"International","Shop Sales",54,-2
"Kids Storyfirst Facts/Kangaroos","12/2/2010","14:05:12","UNITED STATES",23,4.5,"International","Shop Sales",38,-97
"Cap/Cloth(Smith)","1/5/2009","10:32:51","OTHER INTERNATIONAL",25,49.95,"International","Shop Sales",NA,NA
"Magnet - Sheep With Baa","6/7/2012","12:35:52","JAPAN",11,21.68,"International","Shop Sales",36,138
"Magnet/R.Flynn/A Friend Is Someone","6/1/2013","3:49:13","UNITED KINGDOM",22,5.91,"International","Shop Sales",54,-2
"Note Wallets/Pettis","2/1/2009","12:27:54","UNITED KINGDOM",22,9.95,"International","Shop Sales",54,-2
"Keyring  - Assort Wool Sml","24/9/2006","14:29:21","UNITED KINGDOM",22,4.95,"International","Shop Sales",54,-2
"Pin Pewter/Kookaburra","22/9/2013","1:55:58","UNITED KINGDOM",22,3.59,"International","Shop Sales",54,-2
"Koala 16cm/Swaggie /Long Fur/Auk16swl","21/12/2013","11:34:21","CHINA",4,11.77,"International","Shop Sales",35,105
"%Nwm - Adult Admit","23/7/2005","15:45:26","UNITED STATES",23,7.3,"International","Ticket Sales",38,-97
"Tea Towel - Muster Time","26/10/2005","16:46:38","UNITED KINGDOM",22,10.95,"International","Shop Sales",54,-2
"Face Washer/Pincushion Hakea","20/4/2012","2:21:39","UNITED STATES",23,9.95,"International","Shop Sales",38,-97
"%Nwm - Concess Admit","9/2/2007","16:10:11","UNITED KINGDOM",22,23.6,"International","Ticket Sales",54,-2
"Lanolin/Moisturising Cream/Placenta I627","25/4/2011","14:07:15","CHINA",4,9.05,"International","Shop Sales",35,105
"%Nwm - Adult Admit","21/11/2007","14:22:14","UNITED KINGDOM",22,7.3,"International","Ticket Sales",54,-2
