"Item.Description","date","time","Post.code.description","postcode","total","Location","Sales_Type","lat","lon"
"Calendar Card/Pettis","6/10/2005","13:49:53","UNITED STATES",23,5.9,"International","Shop Sales",38,-97
"Pin Pewter/Koala","7/4/2014","11:56:09","CANADA",3,3.59,"International","Shop Sales",60,-95
"Keyring  - Woollen Koala","24/9/2006","14:29:21","UNITED KINGDOM",22,7.95,"International","Shop Sales",54,-2
"%Nwm - Child Admit","11/8/2009","10:56:36","UNITED KINGDOM",22,3.65,"International","Ticket Sales",54,-2
"Sock-Nwm - Ladies Royal","24/11/2009","15:44:24","UNITED STATES",23,9.05,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","6/11/2013","10:26:11","UNITED KINGDOM",22,7.5,"International","Ticket Sales",54,-2
"Postcard - Nwm ""little Off Sides Mate""","28/4/2013","1:02:32","NEW ZEALAND",15,0.91,"International","Shop Sales",-41,174
"%Nwm - Concess Admit","26/11/2007","15:22:11","SWITZERLAND",20,5.9,"International","Ticket Sales",47,8
"Postcard/Rippleside Swimming Club","8/7/2012","12:33:31","HONG KONG",8,1.14,"International","Shop Sales",22.25,114.1667
"Stole - Wool/Silk 7328","3/11/2005","9:49:14","UNITED STATES",23,149.95,"International","Shop Sales",38,-97
"Scarf - Nullarbor Long","8/2/2011","13:15:27","CHINA",4,50,"International","Shop Sales",35,105
"Lanolin Beauty Cream/Vit E100g/Lb Ve","3/8/2013","9:34:18","CHINA",4,9.05,"International","Shop Sales",35,105
"Hat/Buffalo Leather/Sand S","5/9/2008","16:46:36","OTHER INTERNATIONAL",25,49.95,"International","Shop Sales",NA,NA
"Cookie Jar Gel  -Wombat","4/3/2007","15:24:03","OTHER INTERNATIONAL",25,2.5,"International","Shop Sales",NA,NA
"Keyring/Boxed/Ass Cols","11/1/2010","16:39:36","SINGAPORE",17,3.59,"International","Shop Sales",1.3667,103.8
"Postcardsclassic/Bay Of Islands/1401940","16/3/2006","15:20:14","UNITED KINGDOM",22,0.75,"International","Shop Sales",54,-2
"Emu - Sharlene (Mini) S8075","17/3/2006","16:38:36","GERMANY",7,19.95,"International","Shop Sales",51,9
"Keyring - Koala 815/10","5/8/2011","15:56:43","CHINA",4,9.05,"International","Shop Sales",35,105
"%Nwm - Adult Admit","25/11/2012","1:46:47","GERMANY",7,7.5,"International","Ticket Sales",51,9
"Postcard - Nwm Flower Sheep","15/3/2011","11:17:47","UNITED KINGDOM",22,0.91,"International","Shop Sales",54,-2
"Outback Hi/Sand 7m","11/7/2005","12:26:53","UNITED STATES",23,150,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","31/3/2013","11:49:47","JAPAN",11,7.5,"International","Ticket Sales",36,138
"Cardigan - Zip/Aubergine/Fb0423","8/1/2011","12:55:38","OTHER INTERNATIONAL",25,127.23,"International","Shop Sales",NA,NA
"Postcard/Ryrie St,Geelong","4/4/2013","11:28:57","TAIWAN",21,1.36,"International","Shop Sales",23.5,121
"Sock 44c/Lds/Quilted/Black","3/2/2013","4:05:55","UNITED STATES",23,17.23,"International","Shop Sales",38,-97
"Postcard - Nwm ""little Off Sides Mate""","10/4/2013","2:05:00","UNITED KINGDOM",22,0.91,"International","Shop Sales",54,-2
"Farmyard Tales - Silly Sheepdog Mini","21/11/2007","12:37:15","UNITED KINGDOM",22,4.95,"International","Shop Sales",54,-2
"Card - Waratah","22/1/2008","15:16:17","UNITED KINGDOM",22,3.5,"International","Shop Sales",54,-2
"Family Adult - NWM Only","17/12/2012","3:31:32","DENMARK",5,0,"International","Shop Sales",56,10
"Candle -Aboriginal/Dolphin","27/3/2007","10:56:32","UNITED STATES",23,9.95,"International","Shop Sales",38,-97
"Soap - Big Bush Tea Tree","4/1/2006","13:50:21","FRANCE",6,9.95,"International","Shop Sales",46,2
"Card/Xmas/Deck The Halls","6/12/2012","1:22:38","UNITED KINGDOM",22,1.77,"International","Shop Sales",54,-2
"Koala 6""","31/3/2006","14:36:49","JAPAN",11,9.9,"International","Shop Sales",36,138
"Postcard/G'long Botanic Gardens","11/4/2015","11:07:09","NEW ZEALAND",15,3.41,"International","Shop Sales",-41,174
"Family Child - NWM Only","5/8/2010","11:12:21","UNITED KINGDOM",22,0,"International","Shop Sales",54,-2
"Standing Kangaroo Grey 21-5121cd","13/10/2008","16:43:07","UNITED KINGDOM",22,14.95,"International","Shop Sales",54,-2
"Postcard/Australia Kanga170","9/4/2011","15:25:44","GERMANY",7,0.59,"International","Shop Sales",51,9
"Purse/Leather/Lp01","1/1/2013","2:51:48","UNITED STATES",23,6.32,"International","Shop Sales",38,-97
"Postcard/Australia Kanga170","5/1/2011","12:46:13","UNITED STATES",23,0.59,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","18/10/2007","9:57:05","GERMANY",7,7.3,"International","Ticket Sales",51,9
"Postcard - Nwm 3 Sheep","2/7/2011","16:19:37","ITALY",10,0.91,"International","Shop Sales",42.8333,12.8333
"Pendant/Opal Chip/Oppe","16/10/2010","15:26:16","OTHER INTERNATIONAL",25,4.5,"International","Shop Sales",NA,NA
"Magnet/Bollards/Sailor & Woman","3/8/2014","3:38:25","FRANCE",6,3.18,"International","Shop Sales",46,2
"Magnet/#14 Koala With Leaf","11/3/2009","12:03:22","UNITED KINGDOM",22,3.95,"International","Shop Sales",54,-2
"Thimble - Koala  Zody","2/10/2010","15:32:35","UNITED STATES",23,4.5,"International","Shop Sales",38,-97
"Hanky/Mens/Emb","4/11/2005","12:28:57","UNITED STATES",23,6.5,"International","Shop Sales",38,-97
"Jumper Lds Crew/Optim/Crystal","12/3/2007","16:49:23","AFRICA",1,175,"International","Shop Sales",NA,NA
"Postcard/Australia Kanga170","31/12/2010","10:40:35","FRANCE",6,0.59,"International","Shop Sales",46,2
"%Nwm - Child Admit","22/7/2010","15:34:38","GERMANY",7,3.65,"International","Ticket Sales",51,9
"Postcardsclassic/Bay Of Islands/1401940","11/5/2014","12:48:06","GERMANY",7,0.77,"International","Shop Sales",51,9
"%Nwm - Concess Admit","15/12/2012","10:44:33","ITALY",10,6,"International","Ticket Sales",42.8333,12.8333
"Postcards - Bollards Sail Captain","21/12/2010","11:03:42","INDONESIA",9,1.36,"International","Shop Sales",-5,120
"Postcard-W/Front Aerial G'long 1-10008","4/1/2010","12:21:30","OTHER INTERNATIONAL",25,0.86,"International","Shop Sales",NA,NA
"Baby Boot/Sand/18-24mths","29/11/2007","14:56:12","CHINA",4,32.95,"International","Shop Sales",35,105
"Tea Towel/G O Road Montage","10/11/2008","14:07:19","NEW ZEALAND",15,7.95,"International","Shop Sales",-41,174
"Wallet /Kanga Leather/Mwpr 1050","13/10/2009","11:35:13","UNITED STATES",23,22.68,"International","Shop Sales",38,-97
"Postcardsclassic/Bay Of Islands/1401940","29/10/2012","2:33:21","ITALY",10,0.68,"International","Shop Sales",42.8333,12.8333
"Postcards - Gor/Koala 11go160/Dno","26/3/2008","15:04:27","UNITED KINGDOM",22,0.65,"International","Shop Sales",54,-2
"Sheep  Black Sml N24657","15/11/2005","13:57:32","SWITZERLAND",20,19.95,"International","Shop Sales",47,8
"Misc. NWM Shop Stock","7/4/2009","13:56:04","NEW ZEALAND",15,27.95,"International","Shop Sales",-41,174
"Postcard/Volunteer Rifle Band","20/5/2012","12:45:45","OTHER INTERNATIONAL",25,1.14,"International","Shop Sales",NA,NA
"%Nwm - Family Adm(2+3)","3/11/2014","3:38:41","NEW ZEALAND",15,25,"International","Ticket Sales",-41,174
"Sock - M/Fleece Powder 3-8","16/8/2006","12:05:05","ITALY",10,17.95,"International","Shop Sales",42.8333,12.8333
"Coin Purse - Koala","4/9/2005","10:42:49","OTHER INTERNATIONAL",25,4.95,"International","Shop Sales",NA,NA
"Soap - Big Bush/Lemon Eucalypt","21/1/2007","15:52:34","GERMANY",7,10.95,"International","Shop Sales",51,9
"Family Adult - NWM Only","11/7/2010","13:01:19","SWITZERLAND",20,0,"International","Shop Sales",47,8
"Bookmark - Koala Brown Leather","17/2/2012","3:33:24","UNITED STATES",23,8.14,"International","Shop Sales",38,-97
"%Nwm - Family Adm(2+2)","14/8/2009","10:34:16","HONG KONG",8,20,"International","Ticket Sales",22.25,114.1667
"Concession - Redeem Nwm & Fdc","7/4/2007","14:00:55","NEW ZEALAND",15,0,"International","Shop Sales",-41,174
"Wallet /Kanga Leather/Mwpr 1050","16/11/2009","14:08:10","GERMANY",7,22.68,"International","Shop Sales",51,9
"Keyring - Echidna 878/12","4/7/2009","13:31:35","OTHER INTERNATIONAL",25,7.95,"International","Shop Sales",NA,NA
"Postcard/G'long Botanic Gardens","28/7/2012","3:15:11","NETHERLANDS",13,1.14,"International","Shop Sales",52.5,5.75
"Postcard/G'day From Australia/Pc024","5/10/2011","13:15:02","AUSTRIA",2,0.59,"International","Shop Sales",47.3333,13.3333
"Playing Cards - Australia","9/3/2013","10:31:26","CANADA",3,6.32,"International","Shop Sales",60,-95
"%Nwm - Concess Admit","8/9/2011","12:59:12","UNITED KINGDOM",22,6,"International","Ticket Sales",54,-2
"Yarn/Kiss","12/4/2015","1:31:32","NEW ZEALAND",15,14.09,"International","Shop Sales",-41,174
"%Nwm - Adult Admit","4/5/2012","9:32:51","UNITED STATES",23,15,"International","Ticket Sales",38,-97
"Keyring - Echidna (Innov)","28/6/2006","15:14:32","UNITED STATES",23,4.95,"International","Shop Sales",38,-97
"Postcards/Gor/Montage/Go158","20/2/2010","9:54:24","UNITED STATES",23,0.59,"International","Shop Sales",38,-97
"Koala 6""","20/3/2008","10:29:42","GERMANY",7,4.95,"International","Shop Sales",51,9
"Bookmark/Sheep Nwm Zody","26/8/2007","11:50:02","MALAYSIA",12,4.95,"International","Shop Sales",2.5,112.5
"Keyring - Platypus (Innov)","1/8/2008","14:11:55","UNITED KINGDOM",22,4.95,"International","Shop Sales",54,-2
"Pot Holder- Embroidered/Wattle","19/4/2013","2:59:52","NETHERLANDS",13,5.41,"International","Shop Sales",52.5,5.75
"Postcard - Corio Bay Nth 1-10023","29/12/2005","17:03:17","CANADA",3,0.95,"International","Shop Sales",60,-95
"Lens Cloth","20/11/2014","4:04:12","UNITED KINGDOM",22,4.09,"International","Shop Sales",54,-2
"Postcard/Rippleside Swimming Club","18/10/2011","14:02:42","CANADA",3,1.14,"International","Shop Sales",60,-95
"Scarf/Poss/Stripe/Mx205","18/8/2010","16:34:11","JAPAN",11,54.5,"International","Shop Sales",36,138
"Koala-  Mini Koala With Aussie Jmpr Sdin","1/8/2008","14:27:08","JAPAN",11,4.95,"International","Shop Sales",36,138
"Lanolin Beauty Cream/Vit E100g/Lb Ve","2/12/2014","4:22:39","CHINA",4,9.05,"International","Shop Sales",35,105
"Postcards -Carousel/Nuc 11ge006","22/3/2010","14:54:48","UNITED KINGDOM",22,0.59,"International","Shop Sales",54,-2
"Bookmark/Magnetic/Bottlebrush","1/9/2012","3:27:45","MALAYSIA",12,2.68,"International","Shop Sales",2.5,112.5
"%Nwm - Adult Admit","23/2/2011","13:41:09","OTHER INTERNATIONAL",25,7.3,"International","Ticket Sales",NA,NA
"%Nwm - Adult Admit","1/11/2013","11:31:19","OTHER INTERNATIONAL",25,15,"International","Ticket Sales",NA,NA
"%Adult - Inbound Admit","20/2/2007","11:55:33","TAIWAN",21,20,"International","Ticket Sales",23.5,121
"Card - Laughing Kookaburra (J Boot)","13/3/2015","3:37:38","HONG KONG",8,5.41,"International","Shop Sales",22.25,114.1667
"Magnet/Money 6 Pack/Ma 6pk","28/2/2013","2:15:36","OTHER INTERNATIONAL",25,3.18,"International","Shop Sales",NA,NA
"Cards/#20 Where's Stripey","2/9/2008","16:28:03","UNITED STATES",23,3.95,"International","Shop Sales",38,-97
"Tops-Wool/Silk Dyed Polwarth 100g","30/12/2008","12:08:27","UNITED KINGDOM",22,15.95,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","18/9/2013","11:41:37","FRANCE",6,7.5,"International","Ticket Sales",46,2
"Cap/Stone Wash/3d Kanga/410783khn","31/12/2007","11:22:05","DENMARK",5,9.95,"International","Shop Sales",56,10
"Postcards-Apostle Sunset 11go166","1/8/2005","11:43:16","JAPAN",11,0.65,"International","Shop Sales",36,138
"Family Child - NWM Only","26/7/2006","12:50:21","FRANCE",6,0,"International","Shop Sales",46,2
"Playing Cards - Aust Flag","22/2/2008","16:09:58","UNITED STATES",23,4.95,"International","Shop Sales",38,-97
"%Nwm & Fdc - Family 2 + 2","17/12/2009","9:21:17","SINGAPORE",17,30,"International","Ticket Sales",1.3667,103.8
"%Nwm - Adult Admit","29/1/2014","3:26:35","SWITZERLAND",20,7.5,"International","Ticket Sales",47,8
"%Nwm - Adult Admit","24/6/2011","10:21:42","NETHERLANDS",13,7.3,"International","Ticket Sales",52.5,5.75
"%Nwm - Adult Admit","10/12/2005","13:18:18","HONG KONG",8,7.3,"International","Ticket Sales",22.25,114.1667
